title|url|rss|issn|publisher|subjects
Ciência & Saúde|http://revistaseletronicas.pucrs.br/ojs/index.php/faenfi/index|https://paperity.org/rss/?q=journal_pid:290935|1983-652X|Editora da Pontifícia Universidade Católica do Rio Grande do Sul - EDIPUCRS|public health;nursing;nutrition;physical therapy
Ciência & Saúde Coletiva|http://www.scielo.br/scielo.php?pid=1413-8123&script=sci_serial|https://paperity.org/rss/?q=journal_pid:188035|1413-8123, 1678-4561|Associação Brasileira de Pós-Graduação em Saúde Coletiva|health sciences
Ciência & Tecnologia dos Materiais|http://www.scielo.mec.pt/scielo.php?script=sci_serial&pid=0870-8312&lng=en|https://paperity.org/rss/?q=journal_pid:2309|0870-8312|-|-
Ciencia & trabajo|http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-2449&lng=en|https://paperity.org/rss/?q=journal_pid:123795|0718-2449|-|-
Ciência & Trópico|https://periodicos.fundaj.gov.br/CIC/index|https://paperity.org/rss/?q=journal_pid:420802|2526-9372, 0304-2685|Fundação Joaquim Nabuco (Joaquim Nabuco Foundation)|social science;humanities
Ciência Agrícola|http://www.seer.ufal.br/index.php/revistacienciaagricola/index|https://paperity.org/rss/?q=journal_pid:263302|2447-3383, 0103-8699|Universidade Federal de Alagoas|plant protection;agriculture;family farming;forestry;fruit growing
Ciencia Amazónica (Iquitos)|http://ojs.ucp.edu.pe/index.php/cienciaamazonica/index|https://paperity.org/rss/?q=journal_pid:51999|2222-7431, 2221-5948|Universidad Científica del Perú|science;technology;humanities
Ciência Animal Brasileira|http://www.revistas.ufg.br/vet/index|https://paperity.org/rss/?q=journal_pid:216788|1518-2797, 1809-6891|Universidade Federal de Goiás|animal behaviour;zootechnology;animal health;animal production;veterinary medicine
Ciência da Informação|http://revista.ibict.br/ciinf/index|https://paperity.org/rss/?q=journal_pid:245541|0100-1965, 1518-8353|Instituto Brasileiro de Informação em Ciência e Tecnologia (IBICT)|information science;innovation;science and technology;applied social sciences
Ciência da Informação em Revista|http://www.seer.ufal.br/index.php/cir/index|https://paperity.org/rss/?q=journal_pid:331554|2358-0763|Universidade Federal de Alagoas|information science;library science;librarianship;museology
Ciencia del suelo|http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1850-2067&lng=en&nrm=iso|https://paperity.org/rss/?q=journal_pid:255642|1850-2067|Asociación Argentina de la Ciencia del Suelo|agriculture;crop science;soil science;plant nutrition;environmental science
Ciência e Agrotecnologia|http://www.scielo.br/scielo.php?script=sci_serial&pid=1413-7054&lng=en&nrm=iso|https://paperity.org/rss/?q=journal_pid:12150|1413-7054, 1981-1829|Universidade Federal de Lavras|agrarian science;agricultural economics;rural engineering;zootechnology
Ciência e Cultura|http://cienciaecultura.bvs.br/scielo.php?script=sci_serial&pid=0009-6725&lng=en|https://paperity.org/rss/?q=journal_pid:59815|2317-6660|-|-
Ciencia e Ingeniería Neogranadina|http://revistas.unimilitar.edu.co/index.php/rcin|https://paperity.org/rss/?q=journal_pid:2049|0124-8170|Universidad Militar Nueva Granada|technology;science
Ciencia e Innovación en Salud|http://www.revcis.com/|https://paperity.org/rss/?q=journal_pid:93901|2344-8636|Universidad Simón Bolívar|medicine;health;science
Ciencia e Interculturalidad|http://revistas.uraccan.edu.ni/index.php/Interculturalidad|https://paperity.org/rss/?q=journal_pid:237184|2223-6260, 1997-9231|Universidad de las Regiones Autónomas de la Costa Caribe Nicaragüense|knowledge and practices;education;multiculturalism;interculturalism;ancestral knowledge;social sciences
Ciencia e investigación agraria|http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-1620&lng=en|https://paperity.org/rss/?q=journal_pid:152548|0718-1620|-|-
Ciência e Técnica Vitivinícola|http://www.scielo.mec.pt/scielo.php?script=sci_serial&pid=0254-0223&lng=en|https://paperity.org/rss/?q=journal_pid:11616|0254-0223|-|-
Ciencia en Desarrollo|http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0121-7488&lng=en|https://paperity.org/rss/?q=journal_pid:30802|0121-7488|-|-
Ciência Florestal|http://cascavel.ufsm.br/revistas/ojs-2.2.2/index.php/cienciaflorestal|https://paperity.org/rss/?q=journal_pid:40903|0103-9954, 1980-5098|Universidade Federal de Santa Maria|forestry;silviculture;forest ecology;forest management;wood-technology
Ciencia forestal en México|http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1405-3586&lng=en|https://paperity.org/rss/?q=journal_pid:78207|1405-3586|-|-
Ciencia Política|http://www.revistas.unal.edu.co/index.php/cienciapol|https://paperity.org/rss/?q=journal_pid:405732|2389-7481, 1909-230X|Universidad Nacional de Colombia|communication;politics;political science
Ciência Rural|http://www.scielo.br/scielo.php?pid=0103-8478&script=sci_serial|https://paperity.org/rss/?q=journal_pid:69656|0103-8478, 1678-4596|Universidade Federal de Santa Maria|agricultural sciences;economic growth;development;agronomy;animal science
Ciencia UNEMI|http://ojs.unemi.edu.ec/index.php/cienciaunemi|https://paperity.org/rss/?q=journal_pid:332570|2528-7737, 1390-4272|Universidad Estatal de Milagro|management;technology
Ciencia y Agricultura|http://www.uptc.edu.co/enlaces/rcienciaya|https://paperity.org/rss/?q=journal_pid:287620|0122-8420|Universidad Pedagógica y Tecnológica de Colombia |veterinary medicine;animal husbandry;agricultural sciences
Ciencia y Cuidado|https://revistas.ufps.edu.co/index.php/cienciaycuidado/|https://paperity.org/rss/?q=journal_pid:465374|2322-7028, 1794-9831|Universidad Francisco de Paula Santander|Nursing;Health care;health promotion;disease prevention;evidence-based practice;nursing care
Ciencia y Deporte|http://revistas.reduc.edu.cu/index.php/cienciaydeporte|https://paperity.org/rss/?q=journal_pid:23031|2223-1773|Universidad de Camagüey Ignacio Agramonte Loynaz|training;sport;science;physical education
Ciencia y Educación|https://revistas.intec.edu.do/index.php/ciened|https://paperity.org/rss/?q=journal_pid:336360|2613-8808, 2613-8794|Instituto Tecnológico de Santo Domingo (INTEC)|education;teaching;higher education;didactics;science education;innovation in education
Ciencia y enfermería|http://www.scielo.cl/scielo.php?script=sci_serial&pid=0717-9553&lng=en|https://paperity.org/rss/?q=journal_pid:181301|0717-9553|-|-
Ciencia y Poder Aéreo|http://www.publicacionesfac.com|https://paperity.org/rss/?q=journal_pid:464091|2389-9468, 1909-7050|Escuela de Posgrados de la Fuerza Aérea Colombiana|aerospace;aviation;operational safety;technology;military strategy;military operations
Ciencia y Sociedad|https://revistas.intec.edu.do/index.php/ciso|https://paperity.org/rss/?q=journal_pid:403218|2613-8751, 0378-7680|Instituto Tecnológico de Santo Domingo|social sciencies;communication sciences;linguistics;archeology
Ciencia y Tecnología Agropecuaria|http://revista.corpoica.org.co/index.php/revista|https://paperity.org/rss/?q=journal_pid:232073|0122-8706, 2500-5308|Corporación Colombiana de Investigación Agropecuaria (Corpoica)|Agricultura;Alimentación;Desarrollo rural;Cultivos;Cambio climático
Ciencia, Docencia y Tecnología|http://pcient.uner.edu.ar/index.php/cdyt/index|https://paperity.org/rss/?q=journal_pid:226889|1851-1716, 0327-5566|Universidad Nacional de Entre Ríos|science and technology
Ciencia, Técnica y Mainstreaming Social|https://polipapers.upv.es/index.php/citecma|https://paperity.org/rss/?q=journal_pid:306109|2530-7924|Universidad Politécnica de Valencia|social innovation;equality;gender equality;social transformation;social sustainability
Ciencia, Tecnología y Salud|http://digi.usac.edu.gt/ojsrevistas/index.php/cytes|https://paperity.org/rss/?q=journal_pid:279232|2410-6356, 2409-3459|Universidad de San Carlos de Guatemala|biodiversity;human health;animal health
Ciencias administrativas|https://revistas.unlp.edu.ar/CADM|https://paperity.org/rss/?q=journal_pid:117321|0009-6784, 2314-3738|Uiversidad Nacional de La Plata|administration;economics
Ciencias Económicas|http://bibliotecavirtual.unl.edu.ar/publicaciones/index.php/CE/about|https://paperity.org/rss/?q=journal_pid:166158|2362-552X, 1666-8359|Universidad Nacional del Litoral|business;commerce;economics;management;accounting;education
Ciencias marinas|http://www.cienciasmarinas.com.mx/index.php/cmarinas/index|https://paperity.org/rss/?q=journal_pid:106960|0185-3880|Universidad Autónoma de Baja California|marine science;oceanography
Ciencias Psicológicas|http://www.scielo.edu.uy/scielo.php?script=sci_serial&pid=1688-4221&lng=es&nrm=iso|https://paperity.org/rss/?q=journal_pid:71473|1688-4094, 1688-4221|Prensa Médica Latinamericana|psychology;education;health;psychological evaluation
CienciaUAT|http://www.revistaciencia.uat.edu.mx/index.php/CienciaUAT|https://paperity.org/rss/?q=journal_pid:135713|2007-7858, 2007-7521|Universidad Autónoma de Tamaulipas|multidisciplinary
Cieszyński Almanach Pedagogiczny|http://bazhum.muzhp.pl/czasopismo/591/|https://paperity.org/rss/?q=journal_pid:221386|2300-3006|Wydawnictwo Uniwersytetu Śląskiego|-
Cihannüma Tarih ve Coğrafya Araştırmaları Dergisi|https://dergipark.org.tr/en/pub/cihannuma|https://paperity.org/rss/?q=journal_pid:174404|2149-0678, 2148-8843|-|-
Cilia|https://ciliajournal.biomedcentral.com|https://paperity.org/rss/?q=journal_pid:230048|2046-2530|-|Cilia, Cell Biology, Developmental Biology, Human Genetics, Molecular Medicine, Biochemistry, general, Receptors
CINEJ Cinema Journal|http://cinej.pitt.edu/|https://paperity.org/rss/?q=journal_pid:144992|2158-8724, 2159-2411|University of Pittsburgh|cinema studies;film;media;television;communication
Cinema & Território|http://www.ct-review.org/|https://paperity.org/rss/?q=journal_pid:488676|2183-7902|Universidade da Madeira (UMa)|film;images;cinema;art;anthropology;space
Cinergie|http://cinergie.unibo.it/|https://paperity.org/rss/?q=journal_pid:421284|2280-9481|University of Bologna|film studies;film culture;media studies;new media;visual arts
Cinergis|http://online.unisc.br/seer/index.php/cinergis|https://paperity.org/rss/?q=journal_pid:407764|2177-4005, 1519-2512|Universidade de Santa Cruz do Sul|physical education and training;health promotion
Cinesthesia|http://scholarworks.gvsu.edu/cine/|https://paperity.org/rss/?q=journal_pid:3710|-|Grand Valley State University|-
Cinq Continents|http://cinqcontinents.geo.unibuc.ro/|https://paperity.org/rss/?q=journal_pid:61032|2247-2290|University of Bucharest|geomorphology;hydrology;GIS;tourism;spatial planning
Cinta de moebio|http://www.scielo.cl/scielo.php?script=sci_serial&pid=0717-554X&lng=en|https://paperity.org/rss/?q=journal_pid:210054|0717-554X|-|-
Circe de clásicos y modernos|http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-1724&lng=en|https://paperity.org/rss/?q=journal_pid:22251|1851-1724|-|-
Circuits, Systems, and Signal Processing|https://link.springer.com/journal/34|https://paperity.org/rss/?q=journal_pid:47651|1531-5878|Springer US|Circuits, Systems, and Signal Processing, Circuits and Systems, Electrical Engineering, Signal, Image and Speech Processing, Electronics and Microelectronics, Instrumentation
Cirugía paraguaya|http://scielo.iics.una.py/revistas/sopaci/eaboutj.htm|https://paperity.org/rss/?q=journal_pid:208601|2307-0420|Sociedad Paraguaya de Cirugía|public health;surgery;biomedical research
Cirugía Plástica Ibero-Latinoamericana|https://ciplaslatin.com/|https://paperity.org/rss/?q=journal_pid:225339|1989-2055, 0376-7892|Sociedad Española de Cirugía Plástica, Reparadora y Estética (SECPRE)|plastic surgery;reconstructive surgery;aesthetic surgery
Cirujano general|http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1405-0099&lng=en|https://paperity.org/rss/?q=journal_pid:164466|1405-0099|-|-
Cities and the Environment|http://digitalcommons.lmu.edu/cate/|https://paperity.org/rss/?q=journal_pid:32463|1932-7048|Loyola Marymount University|ecological landscaping;urban ecology;urban ecology education
Citius Altius Fortius|http://efsupit.ro/|https://paperity.org/rss/?q=journal_pid:468051|2066-2483, 1582-8131|University of Pitesti|sport science;physical education;biomechanics;kinesiology;coaching;adapted physical activity
Citizen Science: Theory and Practice|https://theoryandpractice.citizenscienceassociation.org/|https://paperity.org/rss/?q=journal_pid:114651|2057-4991|Ubiquity Press|community science;community-based participatory research;crowdsourcing;public participation in research
Citizenship: Jurnal Pendidikan Pancasila dan Kewarganegaraan|http://e-journal.unipma.ac.id/index.php/citizenship/index|https://paperity.org/rss/?q=journal_pid:100153|2579-5740, 2302-433X|Universitas PGRI Madiun|civic education;media development and the learning model of civic education;evaluation and assessment;civics;constitutional law
Citra Delima|http://jurnalilmiah.stikescitradelima.ac.id/index.php/JI|https://paperity.org/rss/?q=journal_pid:482743|2655-0792, 2087-2240|STIKES Citra Delima |nursing;midwifery;health professionals
City Dental College Journal|https://www.banglajol.info/index.php/CDCJ|https://paperity.org/rss/?q=journal_pid:350414|2305-0039 2305-2694|Bangladesh Journals Online|-
City University of New York Law Review|http://academicworks.cuny.edu/clr/|https://paperity.org/rss/?q=journal_pid:61216|-|City University of New York (CUNY)|-
Ciudad Paz-ando|http://revistas.udistrital.edu.co/ojs/index.php/cpaz/index|https://paperity.org/rss/?q=journal_pid:192234|2011-5253|Universidad Distrital Francisco José de Caldas|peace;conflict;pedagogy;social sciences;democracy;memory
Ciudades|https://iuu.uva.es/journal/about/|https://paperity.org/rss/?q=journal_pid:469920|2445-3943, 1133-6579|Universidad de Valladolid|cities;urbanism
Civic-culture|http://jurnal.stkippgri-bkl.ac.id/index.php/CC|https://paperity.org/rss/?q=journal_pid:530|2579-9924, 2579-9878|Penerbit Sekolah Tinggi Keguruan Dan Ilmu Pendidikan PGRI Bangkalan|citizenship education
Civil and Environmental Engineering Reports|http://www.ceer.uz.zgora.pl/|https://paperity.org/rss/?q=journal_pid:238474|2080-5187|-|environmental engineering;civil  engineering
Civil Engineering Dimension|http://ced.petra.ac.id/|https://paperity.org/rss/?q=journal_pid:426898|1979-570X, 1410-9530|Petra Christian University|civil engineering;applied science
Civil Engineering Infrastructures Journal|https://ceij.ut.ac.ir/|https://paperity.org/rss/?q=journal_pid:137086|2423-6691, 2322-2093|University of Tehran Press |infrastructures;buildings;bridges;dams;transportation systems;water distribution systems
Civil Engineering Journal|http://www.civilengineeringjournal.cz|https://paperity.org/rss/?q=journal_pid:493808|1805-2576|Czech Technical University, Prague|engineering;civil engineering;material engineering;building;ecology;architecture
Civilizar Ciencias Sociales y Humanas|http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1657-8953&lng=en|https://paperity.org/rss/?q=journal_pid:59555|1657-8953|-|-
Civitas et Lex|http://uwm.edu.pl/wstis/publikacje/|https://paperity.org/rss/?q=journal_pid:250139|2392-0300|Wydawnictwo Uniwersytetu Warmińsko-Mazurskiego|-
Civitas Hominibus : rocznik filozoficzno-społeczny|http://bazhum.muzhp.pl/czasopismo/123/|https://paperity.org/rss/?q=journal_pid:16748|1896-1819|Wydawnictwo Akademii Humanistyczno–Ekonomicznej w Łodzi|-
Clareira: Revista de Filosofia da Região Amazônica|http://www.revistaclareira.com.br/index.php/clareira|https://paperity.org/rss/?q=journal_pid:73054|2359-1951|Universidade Federal de Rondônia|philosophy;humanities
Claremont-UC Undergraduate Research Conference on the European Union|http://scholarship.claremont.edu/urceu/|https://paperity.org/rss/?q=journal_pid:89969|2154-5731|Claremont Colleges|-
Claridades: Revista de Filosofía|http://filosofiaenmalaga.net/claridades/revista.htm|https://paperity.org/rss/?q=journal_pid:311404|1989-3787, 1889-6855|FICUM|philosophy
Claritas: Journal of Dialogue and Culture|http://docs.lib.purdue.edu/claritas/|https://paperity.org/rss/?q=journal_pid:118722|2163-5552|Purdue University|-
Class, Race and Corporate Power|http://digitalcommons.fiu.edu/classracecorporatepower/|https://paperity.org/rss/?q=journal_pid:147475|2330-6297|Florida International University|-
Classica, Revista Brasileira de Estudos Clássicos|https://revista.classica.org.br|https://paperity.org/rss/?q=journal_pid:466234|2176-6436, 0103-4316|Sociedade Brasileira de Estudos Clássicos (SBEC)|classical studies;history;literature;linguistics;philosophy
Classical Receptions Journal|https://academic.oup.com/crj|https://paperity.org/rss/?q=journal_pid:104290|1759-5142|Oxford University Press|-
CLCWeb|http://docs.lib.purdue.edu/clcweb|https://paperity.org/rss/?q=journal_pid:176228|1481-4374|Purdue University Press|humanities;cultural studies;diaspora studies;media studies;communication studies
Clean Air Journal|http://www.cleanairjournal.org.za/|https://paperity.org/rss/?q=journal_pid:261086|2410-972X, 1017-1703|National Association for Clean Air|air quality;air pollution;its impacts on the environment and the management;air quality management
Clean Energy|https://academic.oup.com/ce|https://paperity.org/rss/?q=journal_pid:220585|2515-396X|Oxford University Press|clean energy;renewable energy;clean coal technology;energy efficiency
Clean Technologies and Environmental Policy|https://link.springer.com/journal/10098|https://paperity.org/rss/?q=journal_pid:145561|1618-9558|Springer Berlin Heidelberg|Clean Technologies and Environmental Policy, Sustainable Development, Industrial Chemistry/Chemical Engineering, Industrial and Production Engineering, Environmental Engineering/Biotechnology, Environmental Economics
CLEI Electronic Journal|http://www.clei.org/cleiej/|https://paperity.org/rss/?q=journal_pid:100226|0717-5000|Centro Latinoamericano de Estudios en Informática|computer science
Cleveland State Law Review|http://engagedscholarship.csuohio.edu/clevstlrev/|https://paperity.org/rss/?q=journal_pid:204981|0009-8876|Cleveland State University|-
Climate|http://www.mdpi.com/journal/climate|https://paperity.org/rss/?q=journal_pid:396966|2225-1154|MDPI AG|climate change
Climate Change Responses|http://www.climatechangeresponses.com/|https://paperity.org/rss/?q=journal_pid:229514|2053-7565|-|-
Climate Dynamics|https://link.springer.com/journal/382|https://paperity.org/rss/?q=journal_pid:126427|1432-0894|Springer Berlin Heidelberg|Climate Dynamics, Geophysics/Geodesy, Climatology, Oceanography
Climate of the Past|http://www.climate-of-the-past.net/index.html|https://paperity.org/rss/?q=journal_pid:47134|1814-9332, 1814-9324|Copernicus Publications|dynamics in ocean;atmosphere;vegetation;carbon cycle;greenhouse gases;climate modelling
Climatic Change|https://link.springer.com/journal/10584|https://paperity.org/rss/?q=journal_pid:207717|1573-1480|Springer Netherlands|Climatic Change, Atmospheric Sciences, Climate Change/Climate Change Impacts
Clínica Contemporánea|https://www.revistaclinicacontemporanea.org/|https://paperity.org/rss/?q=journal_pid:348812|1989-9912|Colegio Oficial de Psicólogos de Madrid|psychological diagnosis;psychotherapy;clinical psychology;psychology
Clínica y Salud|http://scielo.isciii.es/scielo.php?script=sci_serial&pid=1130-5274&lng=en|https://paperity.org/rss/?q=journal_pid:254092|2174-0550, 1130-5274|-|-
Clinical & Experimental Metastasis|https://link.springer.com/journal/10585|https://paperity.org/rss/?q=journal_pid:6713|1573-7276|Springer Netherlands|Clinical & Experimental Metastasis, Cancer Research, Biomedicine, general, Oncology, Hematology, Surgical Oncology
Clinical anatomy and operative surgery|http://kaos.bsmu.edu.ua/|https://paperity.org/rss/?q=journal_pid:385152|1727-0847 1993-5897|Bukovynian State Medical University|-
Clinical and Applied Thrombosis/Hemostasis|https://www.ncbi.nlm.nih.gov/pubmed/|https://paperity.org/rss/?q=journal_pid:163034|1076-0296, 1938-2723|SAGE Publications|-
Clinical and Biomedical Research|http://seer.ufrgs.br/hcpa|https://paperity.org/rss/?q=journal_pid:184380|2357-9730|Hospital de Clinicas de Porto Alegre ; Universidade Federal do Rio Grande do Sul (UFRGS)|nursing;health sciences;medicine
Clinical and Developmental Immunology|https://www.hindawi.com/journals/cdi/|https://paperity.org/rss/?q=journal_pid:248256|1740-2530, 1740-2522|Hindawi Limited|developmental immunology;clinical immunologic studies
Clinical and Diagnostic Laboratory Immunology|https://www.ncbi.nlm.nih.gov/pubmed/|https://paperity.org/rss/?q=journal_pid:14865|1071-412X, 1098-6588|American Society for Microbiology (ASM)|-
Clinical and Experimental Dental Research|http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2057-4347/|https://paperity.org/rss/?q=journal_pid:144857|2057-4347|Wiley|dental research;dentistry;oral health;jaw;mouth;stomatognathic system
Clinical and Experimental Emergency Medicine|https://www.ncbi.nlm.nih.gov/pubmed/|https://paperity.org/rss/?q=journal_pid:72371|2383-4625|The Korean Society of Emergency Medicine|-
Clinical and Experimental Gastroenterology|http://www.dovepress.com/clinical-and-experimental-gastroenterology-journal|https://paperity.org/rss/?q=journal_pid:86810|1178-7023|Dove Medical Press|gastroenterology;gastrointestinal disease;alimentary tract;liver;pancreas;gall bladder
Clinical and Experimental Health Sciences|https://dergipark.org.tr/en/pub/marusbed|https://paperity.org/rss/?q=journal_pid:231910|2459-1459|-|-
Clinical and Experimental Hepatology|https://www.ncbi.nlm.nih.gov/pubmed/|https://paperity.org/rss/?q=journal_pid:101124|2392-1099, 2449-8238|Termedia Publishing|-
Clinical and Experimental Immunology|https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=Clinical%20and%20Experimental%20Immunology%5Bjour%5D&RetMax=9999&retmode=xml|https://paperity.org/rss/?q=journal_pid:261315|0009-9104, 1365-2249|British Society for Immunology|-
Clinical and Experimental Medicine|https://link.springer.com/journal/10238|https://paperity.org/rss/?q=journal_pid:96606|1591-9528|Springer International Publishing|Clinical and Experimental Medicine, Internal Medicine, Hematology, Oncology
Clinical and Experimental Nephrology|https://link.springer.com/journal/10157|https://paperity.org/rss/?q=journal_pid:93239|1437-7799|Springer Singapore|Clinical and Experimental Nephrology, Nephrology, Urology
Clinical and Experimental Ocular Trauma and Infection|https://dergipark.org.tr/ceoti|https://paperity.org/rss/?q=journal_pid:260663|2667-8462|Clinical and Experimental Ocular Trauma and Infection|ocular trauma;ocular infection;experimental ophthalmology
Clinical and Experimental Otorhinolaryngology|https://www.e-ceo.org/|https://paperity.org/rss/?q=journal_pid:129877|2005-0720, 1976-8710|Korean Society of Otorhinolaryngology-Head and Neck Surgery|otorhinolaryngologic diseases;head/surgery;neck/surgery;otolaryngology
Clinical and experimental pathology|http://cep.bsmu.edu.ua/|https://paperity.org/rss/?q=journal_pid:356399|1727-4338 2521-1153|Bukovynian State Medical University|-
Clinical and Experimental Reproductive Medicine|https://www.ncbi.nlm.nih.gov/pubmed/|https://paperity.org/rss/?q=journal_pid:158630|2233-8233, 2233-8241|Korean Society for Reproductive Medicine|-
Clinical and Molecular Allergy|https://clinicalmolecularallergy.biomedcentral.com|https://paperity.org/rss/?q=journal_pid:258801|1476-7961|-|Clinical and Molecular Allergy, Allergology, Immunology, Molecular Medicine
Clinical and Molecular Hepatology|http://www.e-cmh.org|https://paperity.org/rss/?q=journal_pid:238155|2287-285X, 2287-2728|Korean Association for the Study of the Liver|biliary tract diseases;liver diseases
Clinical and Translational Allergy|http://www.ctajournal.com/|https://paperity.org/rss/?q=journal_pid:25410|2045-7022|BMC|Clinical and Translational Allergy, Allergology, Immunology, Pneumology/Respiratory System
Clinical and Translational Gastroenterology|http://www.clintranslgastro.com|https://paperity.org/rss/?q=journal_pid:217641|2155-384X|Wolters Kluwer|gastroenterology;hepatology;novel pharmacotherapies;pre-clinical studies
Clinical and Translational Imaging|https://link.springer.com/journal/40336|https://paperity.org/rss/?q=journal_pid:245392|2281-7565|Springer International Publishing|Clinical and Translational Imaging, Nuclear Medicine, Imaging / Radiology, Diagnostic Radiology, Medical and Radiation Physics, Interventional Radiology, Radiotherapy
Clinical and Translational Medicine|http://www.clintransmed.com/|https://paperity.org/rss/?q=journal_pid:76723|2001-1326|Springer Berlin Heidelberg|Medicine/Public Health, general
Clinical and Translational Oncology|https://link.springer.com/journal/12094|https://paperity.org/rss/?q=journal_pid:221986|1699-3055|Springer International Publishing|Clinical and Translational Oncology, Oncology
Clinical and Vaccine Immunology : CVI|https://www.ncbi.nlm.nih.gov/pubmed/|https://paperity.org/rss/?q=journal_pid:191787|1556-6811, 1556-679X|American Society for Microbiology (ASM)|Biochemistry
Clinical Audit|https://www.dovepress.com/clinical-audit-archive82|https://paperity.org/rss/?q=journal_pid:115563|1179-2760|-|-
Clinical Autonomic Research|https://link.springer.com/journal/10286|https://paperity.org/rss/?q=journal_pid:71005|1619-1560|Springer Berlin Heidelberg|Clinical Autonomic Research, Neurology, Cardiology, Endocrinology, Diabetes, Gastroenterology, Ophthalmology
The Clinical Biochemist Reviews|https://www.ncbi.nlm.nih.gov/pubmed/|https://paperity.org/rss/?q=journal_pid:161997|0159-8090, 1838-0212|The Australian Association of Clinical Biochemists|-
Clinical Cardiology|https://onlinelibrary.wiley.com/journal/19328737|https://paperity.org/rss/?q=journal_pid:27924|1932-8737|Wiley|cardiovascular medicine;cardiovascular surgery;preventive cardiology
Clinical Case Reports|http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2050-0904|https://paperity.org/rss/?q=journal_pid:56677|2050-0904|Wiley|nursing;dentistry;veterinary science;medicine
Clinical Cases in Mineral and Bone Metabolism|https://www.ncbi.nlm.nih.gov/pubmed/|https://paperity.org/rss/?q=journal_pid:190750|1724-8914, 1971-3266|CIC Edizioni Internazionali|-
Clinical Child and Family Psychology Review|https://link.springer.com/journal/10567|https://paperity.org/rss/?q=journal_pid:139146|1573-2827|Springer US|Clinical Child and Family Psychology Review, Child and School Psychology, Social Sciences, general
Clinical Dentistry Reviewed|https://link.springer.com/journal/41894|https://paperity.org/rss/?q=journal_pid:111440|2511-1965|Springer International Publishing|Clinical Dentistry Reviewed, Dentistry
Clinical Diabetes and Endocrinology|http://www.clindiabetesendo.com/|https://paperity.org/rss/?q=journal_pid:253350|2055-8260|BMC|Clinical Diabetes and Endocrinology, Diabetes, Endocrinology
Clinical Drug Investigation|https://link.springer.com/journal/40261|https://paperity.org/rss/?q=journal_pid:260573|1179-1918|Springer International Publishing|Clinical Drug Investigation, Pharmacotherapy, Pharmacology/Toxicology, Internal Medicine
Clinical Endoscopy|https://www.e-ce.org/|https://paperity.org/rss/?q=journal_pid:43618|2234-2443, 2234-2400|Hoon Jai Chun|endoscopy;gastroenterology & hepatology;diagnostic imaging;therapeutic endoscopy
Clinical Epidemiology|http://www.dovepress.com/clinical-epidemiology-journal|https://paperity.org/rss/?q=journal_pid:144316|1179-1349|Dove Medical Press|epidemiology;health care data;biostatistical methods
Clinical Epigenetics|http://www.clinicalepigeneticsjournal.com/|https://paperity.org/rss/?q=journal_pid:191735|1868-7083|BioMed Central|Clinical Epigenetics, Human Genetics, Gene Function
Clinical Evidence|https://www.ncbi.nlm.nih.gov/pubmed/|https://paperity.org/rss/?q=journal_pid:126243|1462-3846, 1752-8526|BMJ Publishing Group|-
Clinical Hypertension|http://www.clinicalhypertension.com/|https://paperity.org/rss/?q=journal_pid:258267|2056-5909|BMC|Clinical Hypertension, Cardiology, Angiology
Clinical Infectious Diseases|http://cid.oxfordjournals.org|https://paperity.org/rss/?q=journal_pid:159667|1058-4838, 1537-6591|Oxford University Press|-
Clinical Infectious Diseases|https://academic.oup.com/cid|https://paperity.org/rss/?q=journal_pid:133043|1537-6591, 1058-4838|Oxford University Press|-
Clinical Interventions in Aging|http://www.dovepress.com/clinical-interventions-in-aging-journal|https://paperity.org/rss/?q=journal_pid:151050|1178-1998, 1176-9092|Dove Medical Press|aging;metabolic therapies;senescence;diseases of aging;anti-aging
Clinical Journal of Gastroenterology|https://link.springer.com/journal/12328|https://paperity.org/rss/?q=journal_pid:17615|1865-7265|Springer Japan|Clinical Journal of Gastroenterology, Gastroenterology, Hepatology, Abdominal Surgery, Colorectal Surgery, Surgical Oncology
Clinical Liver Disease|https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=Clinical%20Liver%20Disease%5Bjour%5D&RetMax=9999&retmode=xml|https://paperity.org/rss/?q=journal_pid:129950|2046-2484|American Association for the Study of Liver Diseases|-
Clinical Management Issues|https://journals.seedmedicalpublishers.com/index.php/CMI|https://paperity.org/rss/?q=journal_pid:30514|2283-3137|SEEd|pathology;unusual side effects;medications;case report;disease management
Clinical Medicine|https://www.ncbi.nlm.nih.gov/pubmed/|https://paperity.org/rss/?q=journal_pid:32945|1470-2118, 1473-4893|Royal College of Physicians|-
